Ground state energy = 26531.92 cm^-1
Max intensity = 0.021630
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
   402       3823.62    0.00000e+00    0.0008192    0.0000007    0.00003102    1.383100073660143e-01
   403       3828.70    0.00000e+00    0.0004384    0.0000002    0.00000889    1.383331558149088e-01
   404       3830.29    0.00000e+00    0.0012409    0.0000015    0.00007119    1.383404138695275e-01
   407       3832.45    0.00000e+00    0.0008221    0.0000007    0.00003125    1.383502572678204e-01
   409       3834.51    0.00000e+00    0.0010807    0.0000012    0.00005399    1.383596407805485e-01
   410       3840.14    0.00000e+00    0.0010069    0.0000010    0.00004687    1.383852732783293e-01
   412       3843.24    0.00000e+00    0.0018821    0.0000035    0.00016377    1.383994261044606e-01
   414       3848.36    0.00000e+00    0.0003522    0.0000001    0.00000574    1.384227283097896e-01
   415       3850.94    0.00000e+00    0.0068825    0.0000474    0.00218998    1.384344754704593e-01
   417       3853.45    0.00000e+00    0.0059308    0.0000352    0.00162616    1.384459443542853e-01
   418       3855.52    0.00000e+00    0.0022792    0.0000052    0.00024017    1.384553791851986e-01
   420       3869.78    0.00000e+00    0.0009001    0.0000008    0.00003746    1.385203233832074e-01
   421       3870.54    0.00000e+00    0.0006195    0.0000004    0.00001774    1.385238016611096e-01
   422       3873.31    0.00000e+00    0.0092995    0.0000865    0.00399818    1.385364120571865e-01
   424       3879.39    0.00000e+00    0.0086168    0.0000742    0.00343267    1.385641173345442e-01
   426       3884.54    0.00000e+00    0.0006664    0.0000004    0.00002053    1.385875694551216e-01
   429       3889.73    0.00000e+00    0.0045625    0.0000208    0.00096238    1.386112307669590e-01
   430       3894.83    0.00000e+00    0.0015131    0.0000023    0.00010585    1.386344894284163e-01
   432       3903.94    0.00000e+00    0.0141032    0.0001989    0.00919549    1.386759606831300e-01
   433       3905.47    0.00000e+00    0.0024752    0.0000061    0.00028325    1.386829386138839e-01
   434       3909.81    0.00000e+00    0.0003939    0.0000002    0.00000717    1.387027274700642e-01
   436       3922.15    0.00000e+00    0.0017845    0.0000032    0.00014723    1.387589704355008e-01
   438       3924.52    0.00000e+00    0.0006557    0.0000004    0.00001988    1.387697418557106e-01
   442       3930.29    0.00000e+00    0.0028371    0.0000080    0.00037212    1.387960292381519e-01
   444       3930.75    0.00000e+00    0.0004003    0.0000002    0.00000741    1.387981388594719e-01
   446       3933.38    0.00000e+00    0.0004753    0.0000002    0.00001044    1.388101047286862e-01
   447       3934.44    0.00000e+00    0.0004093    0.0000002    0.00000774    1.388149459613276e-01
   448       3944.62    0.00000e+00    0.0055265    0.0000305    0.00141204    1.388613405595443e-01
