Ground state energy = 26989.37 cm^-1
Max intensity = 0.003227
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized intensity
  1056       3552.10       0.000000     0.003708     0.000014     0.004259
  1057       3555.73       0.000000     0.005806     0.000034     0.010447
  1058       3556.79       0.000000     0.002416     0.000006     0.001808
  1059       3558.16       0.000000     0.007086     0.000050     0.015557
  1061       3566.30       0.000000     0.004086     0.000017     0.005173
  1062       3567.51       0.000000     0.001949     0.000004     0.001177
  1063       3571.30       0.000000     0.005129     0.000026     0.008151
  1064       3572.91       0.000000     0.017941     0.000322     0.099742
  1065       3573.81       0.000000     0.008468     0.000072     0.022217
  1066       3576.98       0.000000     0.016444     0.000270     0.083787
  1067       3577.98       0.000000     0.008433     0.000071     0.022034
  1068       3580.47       0.000000     0.003820     0.000015     0.004522
  1069       3583.37       0.000000     0.007524     0.000057     0.017543
  1070       3587.05       0.000000     0.006353     0.000040     0.012505
  1071       3589.14       0.000000     0.002318     0.000005     0.001665
  1072       3590.94       0.000000     0.003702     0.000014     0.004246
  1073       3593.68       0.000000     0.006183     0.000038     0.011845
  1074       3596.68       0.000000     0.001997     0.000004     0.001236
  1075       3598.85       0.000000     0.001897     0.000004     0.001115
  1076       3600.93       0.000000     0.005538     0.000031     0.009503
  1077       3602.83       0.000000     0.004817     0.000023     0.007190
  1078       3604.65       0.000000     0.002723     0.000007     0.002298
  1079       3607.25       0.000000     0.002925     0.000009     0.002652
  1080       3611.01       0.000000     0.001917     0.000004     0.001139
  1081       3614.34       0.000000     0.013315     0.000177     0.054934
  1082       3614.96       0.000000     0.010088     0.000102     0.031535
  1083       3617.80       0.000000     0.002764     0.000008     0.002368
  1084       3620.49       0.000000     0.001526     0.000002     0.000721
  1085       3623.01       0.000000     0.002756     0.000008     0.002354
  1086       3625.35       0.000000     0.006172     0.000038     0.011805
  1087       3626.75       0.000000     0.004705     0.000022     0.006860
  1088       3629.29       0.000000     0.001804     0.000003     0.001008
  1090       3634.48       0.000000     0.004004     0.000016     0.004969
  1091       3639.31       0.000000     0.008518     0.000073     0.022481
  1092       3639.88       0.000000     0.005566     0.000031     0.009599
  1093       3641.98       0.000000     0.002305     0.000005     0.001646
  1094       3645.89       0.000000     0.003112     0.000010     0.003001
  1095       3648.61       0.000000     0.006159     0.000038     0.011755
  1096       3650.11       0.000000     0.018329     0.000336     0.104094
  1097       3651.74       0.000000     0.014840     0.000220     0.068243
  1098       3655.37       0.000000     0.005190     0.000027     0.008345
  1099       3656.85       0.000000     0.014674     0.000215     0.066723
  1100       3658.84       0.000000     0.005368     0.000029     0.008928
  1101       3660.27       0.000000     0.004394     0.000019     0.005982
  1102       3663.80       0.000000     0.001308     0.000002     0.000530
  1103       3667.47       0.000000     0.005231     0.000027     0.008477
  1104       3669.67       0.000000     0.002489     0.000006     0.001920
  1105       3671.79       0.000000     0.004963     0.000025     0.007632
  1106       3675.24       0.000000     0.003953     0.000016     0.004842
  1107       3677.00       0.000000     0.002452     0.000006     0.001863
  1108       3680.00       0.000000     0.004407     0.000019     0.006019
  1109       3682.65       0.000000     0.003467     0.000012     0.003725
  1110       3684.76       0.000000     0.008257     0.000068     0.021126
  1111       3686.62       0.000000     0.003114     0.000010     0.003006
  1112       3689.61       0.000000     0.003950     0.000016     0.004834
  1113       3692.44       0.000000     0.002829     0.000008     0.002480
  1114       3694.04       0.000000     0.002375     0.000006     0.001748
  1115       3695.82       0.000000     0.002259     0.000005     0.001582
  1116       3699.79       0.000000     0.002114     0.000004     0.001385
  1117       3702.80       0.000000     0.002168     0.000005     0.001457
  1118       3705.10       0.000000     0.001678     0.000003     0.000872
  1119       3707.77       0.000000     0.005169     0.000027     0.008280
  1120       3710.02       0.000000     0.002876     0.000008     0.002563
  1121       3711.37       0.000000     0.003471     0.000012     0.003733
  1122       3715.04       0.000000     0.002294     0.000005     0.001631
  1123       3716.23       0.000000     0.004509     0.000020     0.006300
  1124       3720.29       0.000000     0.002291     0.000005     0.001626
  1125       3722.80       0.000000     0.008231     0.000068     0.020995
  1126       3725.02       0.000000     0.007063     0.000050     0.015456
  1127       3727.15       0.000000     0.001757     0.000003     0.000957
  1128       3728.79       0.000000     0.001586     0.000003     0.000779
  1129       3734.00       0.000000     0.005126     0.000026     0.008141
  1130       3737.56       0.000000     0.011129     0.000124     0.038379
  1131       3737.96       0.000000     0.005308     0.000028     0.008730
  1132       3741.05       0.000000     0.003075     0.000009     0.002930
  1133       3744.51       0.000000     0.004714     0.000022     0.006885
  1134       3746.99       0.000000     0.008417     0.000071     0.021950
  1135       3748.51       0.000000     0.011013     0.000121     0.037579
  1136       3750.20       0.000000     0.007242     0.000052     0.016251
  1137       3753.66       0.000000     0.005106     0.000026     0.008079
  1138       3755.47       0.000000     0.005617     0.000032     0.009776
  1139       3759.49       0.000000     0.001427     0.000002     0.000631
  1140       3761.94       0.000000     0.007432     0.000055     0.017114
  1141       3763.63       0.000000     0.017115     0.000293     0.090760
  1142       3767.95       0.000000     0.009589     0.000092     0.028491
  1143       3770.02       0.000000     0.011410     0.000130     0.040338
  1144       3770.96       0.000000     0.008561     0.000073     0.022709
  1145       3774.22       0.000000     0.005003     0.000025     0.007757
  1146       3777.23       0.000000     0.004799     0.000023     0.007137
  1147       3779.07       0.000000     0.020679     0.000428     0.132506
  1148       3781.03       0.000000     0.019852     0.000394     0.122114
  1149       3783.60       0.000000     0.004904     0.000024     0.007452
  1150       3786.94       0.000000     0.004649     0.000022     0.006698
  1151       3789.20       0.000000     0.005159     0.000027     0.008247
  1152       3791.74       0.000000     0.005631     0.000032     0.009826
  1153       3794.25       0.000000     0.005806     0.000034     0.010445
  1154       3796.08       0.000000     0.003017     0.000009     0.002820
  1155       3800.61       0.000000     0.003980     0.000016     0.004908
  1156       3803.44       0.000000     0.003806     0.000014     0.004489
  1157       3806.29       0.000000     0.015692     0.000246     0.076298
  1158       3807.22       0.000000     0.008089     0.000065     0.020273
  1159       3811.15       0.000000     0.005655     0.000032     0.009908
  1160       3812.31       0.000000     0.009386     0.000088     0.027297
  1161       3815.49       0.000000     0.003229     0.000010     0.003230
  1162       3818.81       0.000000     0.002679     0.000007     0.002223
  1163       3821.20       0.000000     0.007096     0.000050     0.015602
  1164       3823.74       0.000000     0.005336     0.000028     0.008822
  1165       3825.85       0.000000     0.010651     0.000113     0.035154
  1166       3827.52       0.000000     0.019081     0.000364     0.112817
  1167       3831.14       0.000000     0.005144     0.000026     0.008200
  1168       3833.14       0.000000     0.002864     0.000008     0.002542
