time-step,nac01,nac02,nac03,nac12,nac13,nac23,energy0,energy1,energy2,energy3
216,0.384766,1.44027,0.249571,1.02369,1.77233,0.244734,0.0532837,0.209797,0.224712,0.286634
217,0.307173,1.41351,0.179452,1.04336,1.5653,0.247572,0.0449328,0.200713,0.214218,0.277623
218,0.243131,1.34946,0.133373,0.915657,1.36686,0.223395,0.0524489,0.203606,0.220083,0.283212
219,0.178619,1.30411,0.11004,0.733882,1.20749,0.191733,0.0680613,0.21339,0.23453,0.296144
220,0.17027,1.33292,0.0979933,0.662058,1.12746,0.181361,0.0813914,0.221106,0.246201,0.3058
221,0.216205,1.46486,0.0937722,0.695474,1.20828,0.195959,0.0883282,0.223865,0.251381,0.308801
222,0.252467,1.6841,0.0931036,0.788433,1.36194,0.225844,0.0915388,0.22575,0.254045,0.309637
223,0.260103,1.93149,0.0926464,0.88983,1.49829,0.249992,0.0961335,0.231569,0.260178,0.314702
224,0.243794,2.12964,0.0936866,0.971199,1.62225,0.252795,0.102513,0.239808,0.269349,0.323576
225,0.229215,2.22694,0.100124,1.07042,1.74133,0.249641,0.106495,0.245042,0.275873,0.330381
226,0.265897,2.21383,0.110806,1.25985,1.87796,0.277296,0.105798,0.246325,0.277208,0.332081
227,0.355072,2.10801,0.122664,1.5282,2.04635,0.337258,0.0996701,0.244989,0.273244,0.327976
228,0.455967,1.94696,0.148342,1.67692,2.2006,0.39251,0.0878815,0.239495,0.264448,0.317727
229,0.584838,1.76586,0.229786,1.44377,2.20317,0.434254,0.078201,0.233555,0.258421,0.309071
230,0.676166,1.59198,0.325696,1.13062,1.99281,0.538795,0.0779374,0.232851,0.261488,0.310062
231,0.69486,1.44368,0.370911,0.98891,1.76325,0.668102,0.0820988,0.235562,0.268106,0.315986
232,0.657861,1.32296,0.354068,0.918587,1.63948,0.753946,0.0802375,0.234339,0.268137,0.315758
233,0.593835,1.23427,0.300726,0.855032,1.63017,0.740294,0.0705677,0.227923,0.260218,0.307507
234,0.555856,1.18429,0.240689,0.795669,1.71509,0.672241,0.0557116,0.217201,0.246935,0.294183
235,0.532602,1.18155,0.192636,0.76809,1.84382,0.546701,0.0427359,0.20695,0.234544,0.282386
236,0.512274,1.23008,0.1671,0.775126,1.97045,0.387122,0.0415625,0.206528,0.231892,0.281398
237,0.478359,1.29417,0.163122,0.852871,2.09977,0.317032,0.0527908,0.217701,0.239823,0.291622
238,0.452718,1.30367,0.162485,0.960449,2.25549,0.314347,0.061515,0.226847,0.245109,0.298567
239,0.430154,1.22545,0.164676,1.05142,2.41469,0.345045,0.0570101,0.223446,0.238301,0.292297
240,0.382747,1.10065,0.171973,1.78459,2.52177,0.545069,0.052966,0.220731,0.232483,0.287826
241,0.325178,0.974565,0.169494,4.0735,2.49166,0.937353,0.0616034,0.22847,0.238783,0.296834
242,0.310699,0.865865,0.159635,3.90493,2.37027,1.01361,0.0769436,0.237564,0.250333,0.310685
243,0.388345,0.765555,0.14173,2.08074,2.18373,0.762541,0.0905059,0.240352,0.259183,0.320189
